timestamp,emotion
1.15,neutral
2.07,neutral
2.3,neutral
2.6,neutral
2.85,neutral
3.14,neutral
3.48,neutral
3.68,neutral
3.88,neutral
4.09,neutral
4.32,neutral
4.56,neutral
4.79,neutral
4.98,neutral
5.2,neutral
5.44,neutral
5.69,neutral
5.93,neutral
6.17,neutral
6.39,neutral
6.65,neutral
6.92,neutral
7.15,neutral
7.4,neutral
7.75,sad
8.1,neutral
8.36,neutral
8.66,neutral
8.99,neutral
9.26,neutral
9.49,neutral
9.81,neutral
10.21,neutral
10.51,neutral
10.78,neutral
11.06,neutral
11.74,neutral
11.98,neutral
12.21,neutral
12.44,neutral
12.72,neutral
12.95,neutral
13.17,neutral
13.4,neutral
13.65,neutral
13.91,neutral
14.1,neutral
14.38,neutral
14.62,neutral
14.84,neutral
15.07,neutral
15.36,neutral
15.66,neutral
15.92,neutral
16.2,neutral
16.39,neutral
16.6,neutral
16.84,neutral
17.09,neutral
17.33,neutral
17.63,neutral
17.99,neutral
18.22,neutral
18.54,happy
18.96,neutral
19.3,neutral
19.53,neutral
19.76,neutral
20.18,neutral
20.45,neutral
20.68,neutral
20.91,neutral
21.14,neutral
21.38,neutral
21.63,surprise
21.85,sad
22.04,sad
22.26,sad
22.46,neutral
22.65,sad
22.84,sad
23.11,sad
23.35,sad
23.58,sad
23.83,neutral
24.14,neutral
24.39,sad
24.62,neutral
24.85,neutral
25.08,neutral
25.27,neutral
25.52,neutral
25.75,neutral
25.99,neutral
26.21,neutral
26.46,neutral
26.69,neutral
26.92,neutral
27.15,neutral
27.38,neutral
27.62,neutral
27.84,neutral
28.08,neutral
28.32,neutral
28.5,neutral
28.73,angry
29.0,neutral
29.24,neutral
29.47,neutral
29.7,neutral
29.96,neutral
30.21,neutral
30.4,angry
30.61,neutral
30.85,neutral
31.1,neutral
31.36,neutral
31.54,angry
31.81,neutral
32.08,neutral
32.35,neutral
32.64,neutral
32.91,neutral
33.18,neutral
33.44,neutral
33.7,neutral
33.91,neutral
34.16,neutral
34.39,neutral
34.62,neutral
34.87,neutral
35.11,neutral
35.36,neutral
35.59,neutral
35.83,neutral
36.06,neutral
36.32,neutral
36.56,neutral
36.79,neutral
37.03,neutral
37.35,neutral
37.6,sad
37.84,neutral
38.11,sad
38.37,sad
38.59,sad
38.78,neutral
38.99,neutral
39.24,neutral
39.51,neutral
39.83,neutral
40.1,neutral
40.34,angry
40.57,neutral
40.85,neutral
41.11,neutral
41.37,neutral
41.61,neutral
41.83,neutral
42.13,neutral
42.36,neutral
42.6,neutral
42.83,neutral
43.06,neutral
43.25,neutral
43.48,neutral
43.75,neutral
43.99,neutral
44.23,angry
44.46,sad
44.7,angry
44.93,neutral
45.16,sad
45.45,sad
45.71,neutral
45.93,sad
46.16,neutral
46.34,angry
46.5,sad
46.83,fear
47.07,neutral
47.3,neutral
47.54,fear
47.76,neutral
48.01,neutral
48.25,neutral
48.46,neutral
48.67,neutral
48.88,neutral
49.13,angry
49.45,neutral
49.71,neutral
49.95,neutral
50.22,neutral
50.42,angry
50.62,angry
50.83,neutral
51.08,neutral
51.38,angry
51.61,surprise
51.87,neutral
52.13,neutral
52.46,neutral
52.72,sad
52.99,neutral
53.24,neutral
53.47,neutral
53.72,neutral
53.97,neutral
54.21,neutral
54.62,neutral
55.31,neutral
55.91,neutral
56.29,neutral
56.55,neutral
56.78,sad
57.06,neutral
57.38,neutral
57.6,neutral
57.85,neutral
58.08,neutral
58.34,neutral
58.66,neutral
58.92,neutral
59.18,neutral
59.44,neutral
59.86,neutral
60.12,neutral
60.34,neutral
60.62,neutral
60.92,neutral
61.21,neutral
61.46,neutral
61.73,neutral
61.97,neutral
62.27,neutral
62.51,neutral
